project_code,yard_name,packing_count,source
2601022,G10,1,jeil_actual
2601023,G03,1,jeil_actual
2601023,G06,1,jeil_actual
2601029,F08,12,jeil_actual
2601029,G09,1,jeil_actual
2601029,G02,4,jeil_actual
2601029,G03,2,jeil_actual
2601031,G06,1,jeil_actual
2602001,G02,1,jeil_actual
2602002,G08,3,jeil_actual
2602003,G02,3,jeil_actual
2602004,G08,2,jeil_actual
2602006,G01,2,jeil_actual
2602007,G07,1,jeil_actual
2602008,G07,2,jeil_actual
2602009,D07,9,jeil_actual
2602009,D02,1,jeil_actual
2602009,G02,6,jeil_actual
2602010,G03,1,jeil_actual
2602011,G03,4,jeil_actual
2602012,H04,14,jeil_actual
2602012,H03,11,jeil_actual
2602012,G05,1,jeil_actual
2602012,H05,1,jeil_actual
2602013,G02,3,jeil_actual
2602014,G03,1,jeil_actual
2602016,G07,2,jeil_actual
2602019,G03,1,jeil_actual
2602020,G01,3,jeil_actual
2602021,A03,13,jeil_actual
2602022,E06,17,jeil_actual
2602022,E05,16,jeil_actual
2602022,E04,18,jeil_actual
2602022,E03,7,jeil_actual
2602023,G09,2,jeil_actual
2602024,G10,1,jeil_actual
2602026,G03,1,jeil_actual
2602027,H01,3,jeil_actual
2602028,G08,2,jeil_actual
2602028,G10,3,jeil_actual
2602029,G08,5,jeil_actual
2602030,A01,1,jeil_actual
2306087,H18,2,jeil_actual
2306087,G05,1,jeil_actual
2406047,D08,5,jeil_actual
2406047,A02,10,jeil_actual
2406047,D09,7,jeil_actual
